id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-11-29T00:52:51;Loop;CANCELLED;PAYPAL;2021-11-28T19:13:16;22604
2;calculating;2021-11-29T01:21:14;haptic 1080p;ISSUED;PAYPAL;2021-11-28T12:34:54;10489
3;national Frozen Berkshire;2021-11-29T01:36:04;Account Borders Home;PAID;CREDIT_CARD;2021-11-28T16:18:55;36325
4;monitor;2021-11-28T11:38:40;parse intuitive Division;CANCELLED;PAYPAL;2021-11-28T13:13:41;13687
5;synergy transmitting;2021-11-28T11:40:55;parse Gloves;ISSUED;PAYPAL;2021-11-28T20:17:33;92472
6;function;2021-11-28T16:34:23;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-11-29T03:41:24;26944
7;Maine;2021-11-29T03:00:46;RAM;ISSUED;PAYPAL;2021-11-29T08:02:38;32458
8;Analyst Agent;2021-11-29T06:55:28;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-11-29T03:57:10;79389
9;Salad;2021-11-28T13:04:10;Gorgeous;ISSUED;CREDIT_CARD;2021-11-28T21:50:34;62169
10;Pants Wooden Intuitive;2021-11-28T22:28:07;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-11-28T18:22:44;58737
