id;placed_date;status;code;invoice_id;customer_id
1;2021-11-29T00:28:07;COMPLETED;Electronics;57858;1
2;2021-11-29T04:06:07;CANCELLED;withdrawal virtual;42917;2
3;2021-11-28T11:08:27;COMPLETED;compress Soft cross-platform;960;1
4;2021-11-28T21:17:59;COMPLETED;Expanded;88753;2
5;2021-11-28T17:26:09;CANCELLED;Hat;10576;1
6;2021-11-28T18:04:55;PENDING;Regional harness Holy;55347;2
7;2021-11-28T10:05:42;COMPLETED;Decentralized Visionary;88231;2
8;2021-11-28T12:24:41;COMPLETED;Credit Soft Cotton;23331;1
9;2021-11-28T15:53:07;PENDING;Implemented;30578;2
10;2021-11-29T04:05:00;PENDING;solution protocol;72463;2
